"day","1","2","3","4","5","6","7","8","9","10","11","12"
2020-01-01,12360,9345,779,3397,21012,9424,0,214,6227,7816,12907,140
2020-01-02,14689,7206,1075,4078,18153,8603,0,316,5188,6757,17655,167
2020-01-03,21148,11133,1862,6863,26405,10340,0,524,7821,8692,27151,326
2020-01-04,17762,9236,1624,6274,27699,9962,0,458,5963,7845,23483,215
2020-01-05,15576,19906,1644,5496,38823,28015,0,446,6429,14204,20389,337
2020-01-06,27783,16259,3616,12297,34427,14971,0,1386,11203,13599,32301,659
2020-01-07,29276,17233,3638,13320,36781,13509,0,1486,11958,13266,34531,681
2020-01-08,29111,17544,3633,13761,38151,15136,0,1577,11405,13875,33890,734
2020-01-09,30957,19165,4017,15130,43576,17860,0,1692,12567,15810,35989,721
2020-01-10,30694,18045,3878,14830,43923,15260,0,1553,11940,14696,32485,711
2020-01-11,23303,13812,2617,10483,39316,15265,0,740,7372,10027,29023,400
2020-01-12,16171,19116,1982,7013,40605,27108,0,553,6495,12914,18603,321
2020-01-13,30186,17308,3792,13736,37927,16697,0,1678,11586,14487,31679,694
2020-01-14,18479,20388,4033,15073,41879,18719,0,1761,12965,15448,36300,786
2020-01-15,18542,20505,4244,15404,44896,21446,0,1811,12745,15212,35216,724
2020-01-16,18528,20969,4139,16153,46000,22378,0,1789,12562,15410,35159,784
2020-01-17,17069,15843,3403,12920,36139,13911,0,1334,11335,13529,33424,585
2020-01-18,16370,14982,2493,11058,41975,17214,0,678,7469,10781,29378,323
2020-01-19,9214,14586,1846,6331,32821,19039,0,436,6246,10466,16730,320
2020-01-20,16168,17956,3839,13302,35663,15842,0,1483,11400,15032,32506,672
2020-01-21,16996,18703,3810,13854,37546,16906,0,1587,13049,14144,35437,603
2020-01-22,16125,16005,3634,13541,37477,14159,0,1487,11367,13009,30774,649
2020-01-23,15755,14755,3276,12785,35607,13425,0,1345,11208,13010,32852,623
2020-01-24,18013,15775,3304,12754,39100,14815,0,1275,11649,13977,36771,612
2020-01-25,16157,11692,2126,8366,36242,14604,0,546,7266,9948,30629,292
2020-01-26,9231,16142,1750,5928,38663,25287,0,463,6959,13657,19347,227
2020-01-27,16322,17419,3626,12983,36638,16008,0,1402,12162,14420,35501,764
2020-01-28,13350,11692,2489,9315,26172,10047,0,847,10004,11083,31825,392
2020-01-29,15092,12207,2698,10251,29281,10670,0,955,11234,11844,31852,434
2020-01-30,17164,16567,3473,12936,37119,15992,0,1276,11990,14056,37645,545
2020-01-31,18218,17842,3744,14058,45602,18896,0,1400,12043,14017,37690,615
2020-02-01,15478,14330,2291,9194,39161,15812,0,607,6937,10321,31462,359
2020-02-02,6754,9608,1071,4462,25088,11337,0,290,5526,7142,15574,164
2020-02-03,11786,10641,2231,8007,23903,9041,0,805,9636,11442,29625,393
2020-02-04,13383,12451,2909,10739,25903,11891,0,1051,8390,12238,28765,474
2020-02-05,16416,17766,3542,13503,38130,17570,0,1367,10732,13657,35424,634
2020-02-06,18458,18806,3841,14531,40740,18931,0,1416,10974,14513,37990,735
2020-02-07,18445,18561,3506,13410,41841,19257,0,1334,11266,13116,38966,631
2020-02-08,17023,14887,2215,9456,42112,18923,0,607,7254,9807,34351,354
2020-02-09,10761,19954,1659,6281,40678,27307,0,532,5620,10341,23741,322
2020-02-10,10366,8877,1835,7310,21908,7713,0,605,8424,7495,25437,284
2020-02-11,11189,11193,2233,8483,23607,8846,0,781,9276,8542,27873,288
2020-02-12,14514,13784,2708,10524,31754,12649,0,945,10066,9711,34140,452
2020-02-14,14976,13425,2709,10544,35265,12317,0,853,8226,10505,32726,423
