"day","1","2","3","4","5","6","7","8","9","10","11","12"
2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-07,19799.1428571429,12902.5714285714,2034,7389.28571428571,29042.8571428571,13546.2857142857,0,690,7827,10311.2857142857,24059.5714285714,360.714285714286
2020-01-08,22192.1428571429,14073.8571428571,2441.71428571429,8869.85714285714,31491.2857142857,14362.2857142857,0,884.714285714286,8566.71428571429,11176.8571428571,27057.1428571429,445.571428571429
2020-01-09,24516.1428571429,15782.2857142857,2862,10448.7142857143,35123.1428571429,15684.7142857143,0,1081.28571428571,9620.85714285714,12470.1428571429,29676.2857142857,524.714285714286
2020-01-10,25879.8571428571,16769.7142857143,3150,11586.8571428571,37625.7142857143,16387.5714285714,0,1228.28571428571,10209.2857142857,13327.8571428571,30438.2857142857,579.714285714286
2020-01-11,26671.4285714286,17423.4285714286,3291.85714285714,12188.1428571429,39285.2857142857,17145.1428571429,0,1268.57142857143,10410.5714285714,13639.5714285714,31229.7142857143,606.142857142857
2020-01-12,26756.4285714286,17310.5714285714,3340.14285714286,12404.8571428571,39539.8571428571,17015.5714285714,0,1283.85714285714,10420,13455.2857142857,30974.5714285714,603.857142857143
2020-01-13,27099.7142857143,17460.4285714286,3365.28571428571,12610.4285714286,40039.8571428571,17262.1428571429,0,1325.57142857143,10474.7142857143,13582.1428571429,30885.7142857143,608.857142857143
2020-01-14,25557.2857142857,17911.1428571429,3421.71428571429,12860.8571428571,40768.1428571429,18006.4285714286,0,1364.85714285714,10618.5714285714,13893.8571428571,31138.4285714286,623.857142857143
2020-01-15,24047.4285714286,18334.1428571429,3509,13095.5714285714,41731.7142857143,18907.8571428571,0,1398.28571428571,10810,14084.8571428571,31327.8571428571,622.428571428571
2020-01-16,22271.8571428571,18591.8571428571,3526.42857142857,13241.7142857143,42078,19553.2857142857,0,1412.14285714286,10809.2857142857,14027.7142857143,31209.2857142857,631.428571428571
2020-01-17,20325.4285714286,18277.2857142857,3458.57142857143,12968.8571428571,40966,19360.5714285714,0,1380.85714285714,10722.8571428571,13861,31343.4285714286,613.428571428571
2020-01-18,19335,18444.4285714286,3440.85714285714,13051,41345.8571428571,19639,0,1372,10736.7142857143,13968.7142857143,31394.1428571429,602.428571428571
2020-01-19,18341.1428571429,17797.2857142857,3421.42857142857,12953.5714285714,40233.8571428571,18486.2857142857,0,1355.28571428571,10701.1428571429,13619,31126.5714285714,602.285714285714
2020-01-20,16338.5714285714,17889.8571428571,3428.14285714286,12891.5714285714,39910.4285714286,18364.1428571429,0,1327.42857142857,10674.5714285714,13696.8571428571,31244.7142857143,599.142857142857
2020-01-21,16126.7142857143,17649.1428571429,3396.28571428571,12717.4285714286,39291.4285714286,18105.1428571429,0,1302.57142857143,10686.5714285714,13510.5714285714,31121.4285714286,573
2020-01-22,15781.4285714286,17006.2857142857,3309.14285714286,12451.2857142857,38231.5714285714,17064.1428571429,0,1256.28571428571,10489.7142857143,13195.8571428571,30486.8571428571,562.285714285714
2020-01-23,15385.2857142857,16118.5714285714,3185.85714285714,11970.1428571429,36746.8571428571,15785.1428571429,0,1192.85714285714,10296.2857142857,12853,30157.2857142857,539.285714285714
2020-01-24,15520.1428571429,16108.8571428571,3171.71428571429,11946.4285714286,37169.8571428571,15914.2857142857,0,1184.42857142857,10341.1428571429,12917,30635.4285714286,543.142857142857
2020-01-25,15489.7142857143,15638.8571428571,3119.28571428571,11561.8571428571,36350.8571428571,15541.4285714286,0,1165.57142857143,10312.1428571429,12798,30814.1428571429,538.714285714286
2020-01-26,15492.1428571429,15861.1428571429,3105.57142857143,11504.2857142857,37185.4285714286,16434,0,1169.42857142857,10414,13253.8571428571,31188,525.428571428571
2020-01-27,15514.1428571429,15784.4285714286,3075.14285714286,11458.7142857143,37324.7142857143,16457.7142857143,0,1157.85714285714,10522.8571428571,13166.4285714286,31615.8571428571,538.571428571429
2020-01-28,14993.2857142857,14782.8571428571,2886.42857142857,10810.2857142857,35699.8571428571,15477.8571428571,0,1052.14285714286,10087.8571428571,12729.1428571429,31099.8571428571,508.428571428571
2020-01-29,14845.7142857143,14240.2857142857,2752.71428571429,10340.2857142857,34529,14979.4285714286,0,976.142857142857,10068.8571428571,12562.7142857143,31253.8571428571,477.714285714286
2020-01-30,15047,14499.1428571429,2780.85714285714,10361.8571428571,34745,15346.1428571429,0,966.285714285714,10180.5714285714,12712.1428571429,31938.5714285714,466.571428571429
2020-01-31,15076.2857142857,14794.4285714286,2843.71428571429,10548.1428571429,35673.8571428571,15929.1428571429,0,984.142857142857,10236.8571428571,12717.8571428571,32069.8571428571,467
2020-02-01,14979.2857142857,15171.2857142857,2867.28571428571,10666.4285714286,36090.8571428571,16101.7142857143,0,992.857142857143,10189.8571428571,12771.1428571429,32188.8571428571,476.571428571429
2020-02-02,14625.4285714286,14237.8571428571,2770.28571428571,10457,34151.5714285714,14108.8571428571,0,968.142857142857,9985.14285714286,11840.4285714286,31649.8571428571,467.571428571429
2020-02-03,13977.4285714286,13269.5714285714,2571,9746.14285714286,32332.2857142857,13113.5714285714,0,882.857142857143,9624.28571428571,11415,30810.4285714286,414.571428571429
2020-02-04,13982.1428571429,13378,2631,9949.57142857143,32293.8571428571,13377,0,912,9393.71428571429,11580,30373.2857142857,426.285714285714
2020-02-05,14171.2857142857,14172.1428571429,2751.57142857143,10414.1428571429,33558,14362.7142857143,0,970.857142857143,9322,11839,30883.5714285714,454.857142857143
2020-02-06,14356.1428571429,14492,2804.14285714286,10642,34075.2857142857,14782.5714285714,0,990.857142857143,9176.85714285714,11904.2857142857,30932.8571428571,482
2020-02-07,14388.5714285714,14594.7142857143,2770.14285714286,10549.4285714286,33538,14834.1428571429,0,981.428571428571,9065.85714285714,11775.5714285714,31115.1428571429,484.285714285714
2020-02-08,14609.2857142857,14674.2857142857,2759.28571428571,10586.8571428571,33959.5714285714,15278.5714285714,0,981.428571428571,9111.14285714286,11702.1428571429,31527.8571428571,483.571428571429
2020-02-09,15181.7142857143,16152.2857142857,2843.28571428571,10846.7142857143,36186.7142857143,17560,0,1016,9124.57142857143,12159.1428571429,32694.5714285714,506.142857142857
2020-02-10,14978.8571428571,15900.2857142857,2786.71428571429,10747.1428571429,35901.7142857143,17370.2857142857,0,987.428571428571,8951.42857142857,11595.2857142857,32096.2857142857,490.571428571429
2020-02-11,14665.4285714286,15720.5714285714,2690.14285714286,10424.8571428571,35573.7142857143,16935.2857142857,0,948.857142857143,9078,11067.2857142857,31968.8571428571,464
2020-02-12,14393.7142857143,15151.7142857143,2571,9999.28571428571,34662.8571428571,16232.2857142857,0,888.571428571429,8982.85714285714,10503.5714285714,31785.4285714286,438
2020-02-14,13896.2857142857,14383,2409.28571428571,9429.71428571429,33880.7142857143,15287.4285714286,0,808.142857142857,8590.28571428571,9931,31033.4285714286,393.428571428571
2020-02-15,13566.8571428571,14011.5714285714,2222.85714285714,8854,34570,15944.5714285714,0,691,7718.14285714286,9475.14285714286,29918.1428571429,347.285714285714
2020-02-16,12571.8571428571,14260.4285714286,2172.14285714286,8405.57142857143,34140.5714285714,16655.1428571429,0,678.714285714286,7266.14285714286,9648.71428571429,27870.5714285714,361.857142857143
2020-02-17,12787.7142857143,13245.7142857143,2317.57142857143,8869.85714285714,31966.2857142857,14267.1428571429,0,736.428571428571,7630.71428571429,9482,28684,386
2020-02-18,13606.2857142857,14521.8571428571,2595.71428571429,9732.28571428571,33910.7142857143,15604.7142857143,0,839,7699.28571428571,10109.8571428571,30017.1428571429,439.857142857143
2020-02-19,13896.8571428571,14792.7142857143,2690.42857142857,10082.1428571429,34822.1428571429,16087,0,863.428571428571,7523.14285714286,10204.1428571429,30297.8571428571,464.714285714286
2020-02-20,14309.7142857143,15500.1428571429,2826.57142857143,10624.8571428571,36548.8571428571,17165.1428571429,0,920.428571428571,7372.57142857143,10583.4285714286,30619.4285714286,501.714285714286
2020-02-21,14636.8571428571,16088.7142857143,2943.14285714286,11065.1428571429,37511,18264,0,964.428571428571,7460,10594,31063.8571428571,537.714285714286
2020-02-22,14990.2857142857,16756,3021.28571428571,11359.4285714286,38219.5714285714,18707.2857142857,0,999.857142857143,7602.14285714286,10894.7142857143,31727.7142857143,555.857142857143
