"day","1","2","3","4","5","6","7","8","9","10","11","12"
2020-01-07,10,1,1,1,4,4,5,1,6,1,4,1
2020-01-08,10,2,1,2,4,4,5,1,7,2,5,1
2020-01-09,10,4,3,3,6,5,5,4,8,5,6,3
2020-01-10,10,5,5,7,8,6,5,6,9,7,6,5
2020-01-11,10,6,6,8,9,7,5,6,9,8,8,6
2020-01-12,10,6,6,8,9,7,5,6,9,7,7,6
2020-01-13,10,7,7,9,9,7,5,7,10,7,7,6
2020-01-14,10,8,7,10,10,8,5,7,10,9,8,6
2020-01-15,10,8,7,10,10,9,5,8,10,10,9,6
2020-01-16,10,9,7,10,10,9,5,8,10,10,8,6
2020-01-17,10,8,7,10,10,9,5,8,10,9,9,6
2020-01-18,9,9,7,10,10,10,5,7,10,9,9,6
2020-01-19,9,7,7,10,10,9,5,7,10,8,8,5
2020-01-20,9,7,7,10,9,8,5,7,10,8,8,5
2020-01-21,9,7,7,9,9,8,5,7,10,7,8,5
2020-01-22,9,6,6,9,8,7,5,6,10,7,6,4
2020-01-23,8,5,5,8,7,5,5,5,9,6,6,4
2020-01-24,8,5,5,8,8,5,5,5,9,6,6,4
2020-01-25,8,4,5,7,7,5,5,5,9,6,7,4
2020-01-26,8,4,4,6,8,6,5,5,9,7,8,3
2020-01-27,8,4,4,6,8,6,5,4,10,7,9,4
2020-01-28,7,3,4,5,6,5,5,3,9,6,8,3
2020-01-29,7,2,2,3,5,5,5,2,8,5,8,2
2020-01-30,7,3,3,3,5,5,5,2,9,6,10,2
2020-01-31,7,3,3,4,6,6,5,2,9,6,10,2
2020-02-01,7,3,3,4,7,6,5,2,9,6,10,2
2020-02-02,6,2,3,3,5,4,5,2,8,3,9,2
2020-02-03,4,2,1,2,4,4,5,1,8,2,7,1
2020-02-04,4,2,2,3,4,4,5,1,8,3,6,1
2020-02-05,4,2,2,3,4,4,5,2,8,3,7,1
2020-02-06,5,3,3,4,5,4,5,2,8,4,7,2
2020-02-07,5,3,2,4,4,4,5,2,8,3,8,2
2020-02-08,6,3,2,4,5,5,5,2,8,3,9,2
