"week","knr","2019","2020","difference_people","percrank","0","color"
"01",1,132840,81535,-51305,7,0,"lightblue"
"01",2,70012,56826,-13186,6,0,"lightblue"
"01",3,2914,6984,4070,7,0,"lightblue"
"01",4,39909,26108,-13801,2,0,"lightblue"
"01",5,172916,132092,-40824,2,0,"lightblue"
"01",6,74338,66344,-7994,3,0,"lightblue"
"01",8,2696,1958,-738,1,0,"lightblue"
"01",9,55182,31628,-23554,8,0,"lightblue"
"01",10,86140,45314,-40826,0,0,"lightblue"
"01",11,193055,101585,-91470,2,0,"lightblue"
"01",12,1205,1185,-20,2,0,"lightblue"
"02",1,173006,187295,14289,10,0,"lightblue"
"02",2,63637,121174,57537,9,0,"lightblue"
"02",3,1444,23381,21937,10,0,"lightblue"
"02",4,51787,86834,35047,7,0,"lightblue"
"02",5,167730,276779,109049,10,0,"lightblue"
"02",6,64633,119109,54476,10,0,"lightblue"
"02",8,4436,8987,4551,8,0,"lightblue"
"02",9,69908,72940,3032,10,0,"lightblue"
"02",10,124928,94187,-30741,0,0,"lightblue"
"02",11,233158,216822,-16336,7,0,"lightblue"
"02",12,1238,4227,2989,6,0,"lightblue"
"03",1,205567,128388,-77179,4,0,"lightblue"
"03",2,93115,124581,31466,9,0,"lightblue"
"03",3,6324,23950,17626,10,0,"lightblue"
"03",4,70246,90675,20429,6,0,"lightblue"
"03",5,228619,281637,53018,9,0,"lightblue"
"03",6,108018,129404,21386,8,0,"lightblue"
"03",8,6558,9487,2929,6,0,"lightblue"
"03",9,75656,74908,-748,10,0,"lightblue"
"03",10,82572,95333,12761,9,0,"lightblue"
"03",11,246153,217886,-28267,6,0,"lightblue"
"03",12,5866,4216,-1650,1,0,"lightblue"
"04",1,188953,108445,-80508,3,0,"lightblue"
"04",2,85768,111028,25260,8,0,"lightblue"
"04",3,6472,21739,15267,9,0,"lightblue"
"04",4,72225,80530,8305,4,0,"lightblue"
"04",5,219847,260298,40451,8,0,"lightblue"
"04",6,100982,115038,14056,7,0,"lightblue"
"04",8,6512,8186,1674,4,0,"lightblue"
"04",9,76151,72898,-3253,9,0,"lightblue"
"04",10,84043,92777,8734,8,0,"lightblue"
"04",11,256795,218316,-38479,6,0,"lightblue"
"04",12,4934,3678,-1256,1,0,"lightblue"
"05",1,195620,102378,-93242,3,0,"lightblue"
"05",2,79041,99665,20624,8,0,"lightblue"
"05",3,5651,19392,13741,8,0,"lightblue"
"05",4,61972,73199,11227,4,0,"lightblue"
"05",5,204158,239061,34903,8,0,"lightblue"
"05",6,90845,98762,7917,6,0,"lightblue"
"05",8,5524,6777,1253,3,0,"lightblue"
"05",9,73723,69896,-3827,9,0,"lightblue"
"05",10,81051,82883,1832,7,0,"lightblue"
"05",11,251028,221549,-29479,6,0,"lightblue"
"05",12,4070,3273,-797,1,0,"lightblue"
